Circle,Operator,Band,StartFrequency,EndFrequency,LinkType,Liberalized
Andhra Pradesh,Tata Teleservices Ltd,800,827.175,830.865,U,1
Andhra Pradesh,Tata Teleservices Ltd,800,872.175,875.865,D,1
Assam,Reliance Communications Ltd,800,838.515,843.435,U,1
Assam,Reliance Communications Ltd,800,883.515,888.435,D,1
Assam,Reliance Jio Infocomm Ltd,800,829.935,834.855,U,1
Assam,Reliance Jio Infocomm Ltd,800,874.935,879.855,D,1
Bihar,Reliance Jio Infocomm Ltd,800,840.975,843.435,U,1
Bihar,Reliance Jio Infocomm Ltd,800,828.405,829.635,U,1
Bihar,Reliance Jio Infocomm Ltd,800,833.925,835.155,U,1
Bihar,Reliance Jio Infocomm Ltd,800,885.975,888.435,D,1
Bihar,Reliance Jio Infocomm Ltd,800,873.405,874.635,D,1
Bihar,Reliance Jio Infocomm Ltd,800,878.925,880.155,D,1
Delhi,Tata Teleservices Ltd,800,824.415,825.645,U,1
Delhi,Tata Teleservices Ltd,800,869.415,870.645,D,1
Gujarat,Reliance Communications Ltd,800,836.985,839.445,U,1
Gujarat,Reliance Communications Ltd,800,881.985,884.445,D,1
Haryana,Reliance Communications Ltd,800,824.415,825.645,U,1
Haryana,Reliance Communications Ltd,800,869.415,870.645,D,1
Haryana,Reliance Jio Infocomm Ltd,800,827.175,828.405,U,1
Haryana,Reliance Jio Infocomm Ltd,800,839.745,843.435,U,1
Haryana,Reliance Jio Infocomm Ltd,800,872.175,873.405,D,1
Haryana,Reliance Jio Infocomm Ltd,800,884.745,888.435,D,1
Haryana,Tata Teleservices Ltd,800,828.405,829.635,U,1
Haryana,Tata Teleservices Ltd,800,873.405,874.635,D,1
Himachal Pradesh,Reliance Communications Ltd,800,828.405,830.865,U,1
Himachal Pradesh,Reliance Communications Ltd,800,873.405,875.865,D,1
Himachal Pradesh,Reliance Jio Infocomm Ltd,800,839.745,843.435,U,1
Himachal Pradesh,Reliance Jio Infocomm Ltd,800,833.925,835.155,U,1
Himachal Pradesh,Reliance Jio Infocomm Ltd,800,884.745,888.435,D,1
Himachal Pradesh,Reliance Jio Infocomm Ltd,800,878.925,880.155,D,1
Jammu & Kashmir,Reliance Communications Ltd,800,832.695,835.155,U,1
Jammu & Kashmir,Reliance Communications Ltd,800,877.695,880.155,D,1
Jammu & Kashmir,Reliance Jio Infocomm Ltd,800,835.155,836.385,U,1
Jammu & Kashmir,Reliance Jio Infocomm Ltd,800,839.745,843.435,U,1
Jammu & Kashmir,Reliance Jio Infocomm Ltd,800,880.155,881.385,D,1
Jammu & Kashmir,Reliance Jio Infocomm Ltd,800,884.745,888.435,D,1
Kolkata,Reliance Communications Ltd,800,827.175,828.405,U,1
Kolkata,Reliance Communications Ltd,800,872.175,873.405,D,1
Madhya Pradesh,Reliance Jio Infocomm Ltd,800,829.935,834.855,U,1
Madhya Pradesh,Reliance Jio Infocomm Ltd,800,874.935,879.855,D,1
Maharashtra,Tata Teleservices Ltd,800,829.935,832.395,U,1
Maharashtra,Tata Teleservices Ltd,800,874.935,877.395,D,1
Mumbai,Reliance Jio Infocomm Ltd,800,832.995,837.915,U,1
Mumbai,Reliance Jio Infocomm Ltd,800,877.995,882.915,D,1
Mumbai,Tata Teleservices Ltd,800,829.935,832.395,U,1
Mumbai,Tata Teleservices Ltd,800,874.935,877.395,D,1
North East,Reliance Communications Ltd,800,829.935,834.855,U,1
North East,Reliance Communications Ltd,800,874.935,879.855,D,1
North East,Reliance Jio Infocomm Ltd,800,838.515,843.435,U,1
North East,Reliance Jio Infocomm Ltd,800,883.515,888.435,D,1
Odisha,Reliance Communications Ltd,800,828.405,829.635,U,1
Odisha,Reliance Communications Ltd,800,873.405,874.635,D,1
Odisha,Reliance Jio Infocomm Ltd,800,839.745,843.435,U,1
Odisha,Reliance Jio Infocomm Ltd,800,833.925,835.155,U,1
Odisha,Reliance Jio Infocomm Ltd,800,884.745,888.435,D,1
Odisha,Reliance Jio Infocomm Ltd,800,878.925,880.155,D,1
Punjab,Reliance Communications Ltd,800,832.605,835.065,U,1
Punjab,Reliance Communications Ltd,800,877.605,880.065,D,1
Uttar Pradesh (East),Reliance Jio Infocomm Ltd,800,840.975,843.435,U,1
Uttar Pradesh (East),Reliance Jio Infocomm Ltd,800,833.925,835.155,U,1
Uttar Pradesh (East),Reliance Jio Infocomm Ltd,800,885.975,888.435,D,1
Uttar Pradesh (East),Reliance Jio Infocomm Ltd,800,878.925,880.155,D,1
Uttar Pradesh (West),Reliance Communications Ltd,800,835.155,836.385,U,1
Uttar Pradesh (West),Reliance Communications Ltd,800,880.155,881.385,D,1
West Bengal,Reliance Communications Ltd,800,842.205,843.435,U,1
West Bengal,Reliance Communications Ltd,800,887.205,888.435,D,1
Andhra Pradesh,Bharti Airtel Ltd,900,895.1,902.5,U,1
Andhra Pradesh,Bharti Airtel Ltd,900,910.5,912.1,U,1
Andhra Pradesh,Bharti Airtel Ltd,900,940.1,947.5,D,1
Andhra Pradesh,Bharti Airtel Ltd,900,955.5,957.1,D,1
Andhra Pradesh,Idea Cellular Ltd,900,890.1,895.1,U,1
Andhra Pradesh,Idea Cellular Ltd,900,935.1,940.1,D,1
Assam,Bharti Airtel Ltd,900,896.3,902.5,U,1
Assam,Bharti Airtel Ltd,900,941.3,947.5,D,1
Bihar,Bharti Airtel Ltd,900,896.3,897.9,U,1
Bihar,Bharti Airtel Ltd,900,941.3,942.9,D,1
Gujarat,Vodafone India Ltd,900,895.1,900.1,U,1
Gujarat,Vodafone India Ltd,900,910.5,911.5,U,1
Gujarat,Vodafone India Ltd,900,940.1,945.1,D,1
Gujarat,Vodafone India Ltd,900,955.5,956.5,D,1
Gujarat,Idea Cellular Ltd,900,890.1,895.1,U,1
Gujarat,Idea Cellular Ltd,900,935.1,940.1,D,1
Haryana,Vodafone India Ltd,900,895.1,901.3,U,1
